,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Importe,Causa/Justificación
17,104/19,Vallados Semana Santa y Fogueres,SERVICIO DE CONTRATACIÓN,Suministros,Ordinario,2021-06-15 00:00:00.0,2021-05-25 00:00:00.0,0.0,"Cancelación de  la celebración de la tradicional ""Ofrenda de flores"" de las fiestas oficiales de la ciudad, ""Les Fogueres de Sant Joan"" durante los días 21 a 24 de junio de 2021."
18,124/19,Reforma Finca Benisaudet,URBANISMO,Obras,Ordinario,2021-07-06 00:00:00.0,2021-06-11 00:00:00.0,103623.63,"Redacción de proyecto modificado y ampliación del plazo de ejecución en tres meses para llevar a efecto la modificación, debido a circunstancias sobrevenidas e imprevisibles."
19,07/20,Ayuda a domicilio,SERVICIO DE ACCIÓN SOCIAL,Servicios,Urgente,2021-11-23 00:00:00.0,2021-06-28 00:00:00.0,1574173.53,Crisis sanitaria y social derivada del Covid-19
20,135/19,Reurbanizacion calles en San Gabriel,URBANISMO,Obras,Ordinario,2021-09-28 00:00:00.0,2021-07-19 00:00:00.0,68879.25,"Inclusión de obras adicionales, sin que sea posible su ejecución separada del resto del contrato, así como derivadas de causas sobrevenidas e imprevisibles en el momento de la licitación. Ampliación del plazo en 2 meses."
21,137/19,Mejora sistema viario C/ Padre Espla,URBANISMO,Obras,Ordinario,2021-08-03 00:00:00.0,2021-07-21 00:00:00.0,471900.0,"Motivos de la necesidad de la modificación del proyecto, plantean una propuesta técnica que afecta a: un aparcamiento provisional, a la red de drenaje y saneamiento, al alumbrado público, a la semaforización y a desvíos provisionales."
22,48/19,Reurbanizacion Paseo Explanada Fase II,URBANISMO,Obras,Ordinario,2021-08-03 00:00:00.0,2021-07-23 00:00:00.0,235947.97,Ampliación del plazo de ejecución y autorización a la empresa para ejecutar las obras del modificado
23,95/20,Servicio redacc.proyecto urb.playa Almadraba,URBANISMO,Servicios,Ordinario,2021-08-24 00:00:00.0,2021-08-10 00:00:00.0,0.0,Ampliación del plazo de ejecución del servicio en 30 días naturales debido a retrasos por dificultades de agenda entre los diversos agentes afectados.
24,137/19,Mejora sistema viario C/ Padre Espla,URBANISMO,Obras,Ordinario,2021-08-31 00:00:00.0,2021-08-17 00:00:00.0,472493.38,"Aprobación proyecto modificado y ampliación del plazo de ejecución según acuerdo JGL de 03 de agosto de 2021, en el que se autorizó la redacción del proyecto, la ampliación del plazo  y la ejecución provisional de las obras."
25,133/19,Reurbanización barrio Rabasa,URBANISMO,Obras,Ordinario,2021-09-21 00:00:00.0,2021-09-08 00:00:00.0,0.0,Ampliación del plazo de ejecución en 3 semanas debido retrasos producidos por la ampliación de la red de riego  y las circunstancias climáticas de temperaturas adversas en julio y agosto.
26,30/19,"Mantenimiento conservación zonas verdes, 3 lotes","SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Servicios,Ordinario,2021-11-16 00:00:00.0,2021-10-04 00:00:00.0,2591239.86,"Debido a retrasos desde la redacción del PPTP hasta el inicio del contrato, se han tenido que mantener nuevas zonas verdes que se han ido ejecutando dede el inicio del servicio y a las cuales no se les ha dotado económicamente de recursos."
27,12/21,Proy.reducido obras reparación Mercado Central ,DEPARTAMENTO DE MERCADOS,Obras,Ordinario,2021-11-16 00:00:00.0,2021-11-03 00:00:00.0,0.0,Retrasos  en la ejecución debido a la coordinación de los trabajos con los propietarios de los puestos interiores del Mercado Central.
28,,,,,,,,,
29,,,,,Page 1 / 1,,,,
