,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Importe,Estado,Causa,Año
13,"14/2018
","  PROGRAMA DE CONVIVENCIA VECINAL EN EL BARRIO DE CAROLINAS BAJAS, EN EL MARCO DE LA ESTRATEGIA DE DESARROLLO URBANO SOSTENIBLE (EDUSI) ÁREA  LAS CIGARRERAS ",ACCIÓN SOCIAL ,Servicios ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2018
14,"3/2018
", SERVICIO DE GESTIÓN INTEGRAL DEL CENTRO DE ACOGIDA E INSERCIÓN DE PERSONAS SIN HOGAR ,ACCIÓN SOCIAL ,Servicios ,"Anticipada
",,"Desierto
","por falta de licitadores
",2018
15,"149/2018
", SUMINISTRO DE CONTENEDORES DE CARGA LATERAL PARA FRACCIÓN ORGÁNICA CON CONTROL DE ACCESO (INVERSIONES FINANCIERAMENTE SOSTENIBLES 2017). ,"MEDIO AMBIENTE, LIMPIEZA, RESIDUOS, ZONAS VERDES Y ALUMBRADO",Suministros ,"Ordinaria
",,"Desistimiento
","del procedimiento
",2018
16,"33/2018
", SERVICIO DE PUBLICIDAD DIRIGIDO A LA CAMPAÑA DE COMUNICACIÓN TRIBUTARIA DEL EXCMO. AYUNTAMIENTO DE ALICANTE PARA 2018 ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2018
17,"49/2018
"," SERVICIO DE BAR-CAFETERÍA EN EL RECINTO DEL PARQUE ""ANTIGUA COCHERA DE TRANVÍAS"" DE LA CIUDAD DE ALICANTE. EXPTE. 70/17 ","COMERCIO, HOSTELERÍA, INFRAESTRUCTURAS E INMIGRACIÓN ",Servicios ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2018
18,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
",,"Desierto
","por otros motivos
",2018
19,ALC-CONT-85/18,"Enajenación de forma individual de los bienes de propiedad municipal (plazas de garaje y trasteros) que se identifican a continuación, mediante contratos de compraventa: 1. Plaza de garaje para moto en la Glorieta del Poeta Vicente Mojica nº 16. 2. Plaza de garaje en la calle Arturo nº 19 3. Plaza de garaje y trastero en la calle Capitán Amador nº 9. 4. Plaza de garaje en la calle Cuenca nº 28-30-32 5. Plaza de garaje n.º 12 y trastero en la calle Pérez-Medina nº 12-14 6. Plaza de garaje n.º 22 y trastero en la calle Pérez-Medina nº 12-14 7. Plaza de garaje en Avenida de Denia nº 45. 8. Plaza de garaje y trastero en la calle Pi i Margall nº 11 de San Vicente del Raspeig. 9. Plaza de garaje en la calle Polop nº 2 de El Campello.",,Privado,Ordinario,8411699.0,Desierto,,2019
20,Alc-cont 65/18,"Desarrollo de las aplicaciones informáticas necesarias para realizar las reservas de acceso al castillo de Santa Bárbara ( acceso por ascensor, acceso por autobús ), las de gestión de eventos y las visitas guiadas",,Servicios,Ordinario,249300.0,Desierto,,2019
21,ALC-CONT-95/18,"Proceso de reingeniería de un programa desarrollado de Powerbuilder (trípticos) y el desarrollo de una nueva aplicación (deficiencias) para la Policía Local del Ayuntamiento de Alicantey proceso de reingeniería de un programa desarrollado con Powerbuilder (multas de tráfico), desarrollo de una aplicación móvil para la Policía Local del Ayuntamiento de Alicante y el desarrollo de una aplicación Web para el ciudadano.  LOTE 1.- Constituye el objeto del contrato, la realización de un proceso de reingeniería de un programa desarrollado con PowerBuilder (Trípticos) y el desarrollo de una nueva aplicación (Deficiencias) para la Policía Local del Ayuntamiento de Alicante.  LOTE 2.- Constituye el objeto del contrato, la realización de un proceso de reingeniería de un programa desarrollado con PowerBuilder (multas de tráfico) y el desarrollo de una aplicación móvil para la Policía Local de Alicante y el desarrollo de una aplicación Web para el ciudadano.",,Servicios,Ordinario,1271970.0,Desierto,,2019
22,ALC-CONT-9/19,Suministro de material de oficina 2019 para el Excmo. Ayuntamiento de Alicante.                   Lote 1: Suministro de papel de oficina para los diferentes servicios y dependencias.,,Suministros,Ordinario,3005761.0,Desierto,,2019
23,ALC-CONT-01/19,Suministro de trabajos de imprenta y productos relacionados para el servicio centralizado del Excmo. Ayuntamiento de Alicante para el año 2019,,Suministros,Ordinario,3369366.0,Desierto,,2019
24,56/18,Explotación Integral de la Señalización Vertical y Horizontal de la Ciudad de Alicante. Lote 1. Señalización Vertical  Lote 2. Señalización Horizontal ,,Servicios,Urgente,530116868.0,Desistido,,2019
25,41/19,Prestación de los diferentes servicios deportivos municipales y cursos de actividades acuáticas del Ayuntamiento de Alicante.,,Servicios,Ordinario,33736918.0,Desistido,,2019
26,92/19,"Servicio de consultoría para las actuaciones del proyecto de ""Dinamización de acciones de compra pública innovadora y de prospectiva innovadora en el Ayuntamiento de Alicante para los ejercicios 2019 y 2020""",,Servicios,Ordinario,245900.0,Desierto,,2019
27,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes). Lote 4,,Suministros,Ordinario,0.0,Desierto,,2019
28,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes). Lote 2,,Suministros,Ordinario,0.0,Desierto,,2019
29,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes). Lote 1,,Suministros,Ordinario,0.0,Desierto,,2019
30,75/19,"Servicio de organización y desarrollo de espectáculos que se celebrarán con motivo del ""Sábado Ramblero"" en la Avda. Rambla Méndez Núñez y de la fiesta de Fin de Año en la Plaza del Ayuntamiento 2.020 y 2.021. Lote B.",,Privado,Ordinario,0.0,Desierto,,2019
31,73/19,Suministro de material informático para la equipación de las unidades operativas y dependencias de la Policía Local. Lote 4.,,Suministros,Ordinario,0.0,Desierto,,2019
32,70/19,Servicio de gestión y ejecución de las actividades de prevención de conductas adictivas en el ámbito escolar. Lote 5: Consumo de alcohol y Primeros Auxilios,,Servicios,Ordinario,0.0,Desierto,,2019
33,70/19,Servicio de gestión y ejecución de las actividades de prevención de conductas adictivas en el ámbito escolar. Lote 2:  Representaciones de 3 cuentos con el objetivo de desarrollo de la identidad personal,,Servicios,Ordinario,0.0,Desierto,,2019
34,43/19,"Prestación servicio bar-cafetería Mercadillo Municipal ""José Manuel Gosálbez""",,Contrato administrativo especial,Ordinario,0.0,Desierto,,2019
35,65/19,"Proyecto de construcción paseo litoral de Alicante, tramo promontorio Finca Adoc-Playa Albufereta.",,Obras,Ordinario,0.0,Desierto,,2019
36,34/19,Servicio de telecomunicaciones del Ayuntamiento de Alicante,,Servicios,Ordinario,409479456.0,Desistido,,2019
37,92/19,"Servicio de consultoría para las actuaciones del proyecto de ""Dinamización de acciones de compra pública innovadora y de prospectiva innovadora en el Ayuntamiento de Alicante para los ejercicios 2019 y 2020""",,Servicios,Ordinario,245900.0,Desierto,,2020
38,04/20,Servicio de compra de la publicidad en medios de comunicación audiovisual para la difusión de publicidad institucional del Ayuntamiento de Alicante,,Servicios,Ordinario,7000000.0,Desistido,,2020
39,43/19,"Prestación servicio bar-cafetería Mercadillo Municipal ""José Manuel Gosálbez""",,Contrato administrativo especial,Ordinario,2876776.0,Desierto,,2020
40,5/20,Servicio de limpieza de centros escolares y dependencias municipales de la ciudad de Alicante.,,Servicios,Ordinario,378698016.0,Desistido,,2020
41,33/20,"Enajenación de parcela municipal sita en la calle del Pozo, número 11, de Alicante",,Privado,Ordinario,29089721.0,Desierto,,2020
42,93/19,"Suministro y reparto de rollos de anís y mistela en la tradicional ""paraeta"" municipal con motivo de la celebración de la Romería de Santa Faz 2020-2022",,Suministros,Ordinario,360000.0,Desierto,,2020
43,105/19,"Contratación de la redacción del proyecto de ejecución material y ejecución de las obras de conexión, urbanización e instalaciones auxiliares del nuevo Cementerio de Alicante.",,Obras,Urgente,14324280.0,Desierto,,2020
44,128/19,"Ejecución del Proyecto de ""Acondicionamiento y rehabilitación de varias instalaciones deportivas en el término municipal de Alicante. 2 lotes"".  Inversiones financieramente sostenibles 2018.",,Obras,Ordinario,104161604.0,Lote 1 Desierto,,2020
45,63/19,Contratación pólizas de seguro 2020-2021 para el Excmo. Ayuntamiento de Alicante.,,Servicios,Ordinario,168000.0,Lote 11 Desierto,,2020
46,121/19,"Servicios de ejecución del ""Proyecto de intervención y mediación con la población de etnia gitana en barrios de la Zona Norte y Cementerio""",,Servicios,Ordinario,2093977.0,Lote 1 Desierto,,2020
47,25/20,Concesion demanial para la adjudicación por lotes de la explotación para la venta de productos alimenticios artesanos de dos quioscos sitos en la fachada del mercado central de Alicante,,Contrato administrativo especial,Ordinario,3284916.0,Lote 1 Desierto,,2020
48,56/21,Casa de San Nicolás,,Privado,Ordinario,600000.0,Desierto,,2021
49,72/20,Suministro de carburante para la flota de vehículos del Ayuntamiento de Alicante.,,Suministros,Ordinario,544500.0,Desierto,,2021
50,19/21,Suministro de vestuario para el personal de Infraestructuras y Mantenimiento del Ayuntamiento de Alicante. ,,Suministros,Ordinario,847374.0,Desierto,,2021
51,43/21,Desarrollo de herramientas de gestión de tributos en Oracle Middleware 12c y Oracle ADF (Aplication Development Framework),,Servicios,Ordinario,4996674.0,Desierto,,2021
52,74/20,"Explotación del Bar-Cafetería del mercadillo Municipal ""José Manuel Gosálbez"" de Alicante",,Contrato administrativo especial,Ordinario,387430.0,Desierto,,2021
53,21/21,"Arrendamiento por parte del Ayuntamiento de Alicante de una nave industrial para el almacenamiento de material del Servicio de Infraestructuras y Mantenimiento, con las características descritas en el PCAP.",,Privado,Ordinario,968000.0,Desierto,,2021
54,106/21,Suministro con intalación de luminarias para alumbrado público en Partidas Rurales del Término Municipal de Alicante.,,Suministros,Ordinario,1500000.0,Desierto,,2021
55,108/21,"Redacción del proyecto construcitvo de ejecución material, para la reforma interior, adecuadción de nuevos espacios y todo ello bajo los conceptos de mejora de la eficiencia energética, del pabellón existente en la parcela municipal, ubicada en la calle Pianista Gonzalo Soriano, 6, 03007, de la ciudad de Alicante, que dispone de una superficie de parcela de 9.261 m2 y con referencia catastral 7966402YH1476F0001KI.",,Servicios,Ordinario,21185648.0,Desierto,,2021
56,63/21,"Concesión demanial para la adjudicación de la explotación del Bar-Cafetería del mercadillo municipal ""José Manuel Gosálbez"" de Alicante",,Contrato administrativo especial,Ordinario,387430.0,Desierto,,2021
57,81/20 ,Servicio de alojamiento y manutención ante situaciones de emergencia social,,Servicios,Ordinario,499928.0,Desierto,,2021
58,91/21,Plantaciones en el entorno del Tossal de Manises Parque Arqueóloga Solveig Nordstrum,,Obras,Ordinario,8992001.0,Desierto,,2021
59,141/21,"El servicio de consultoría técnica para la realización del diagnóstico participativo y del mapa de activos para la salud de la estrategía ""Alicante ciudad saludable"". Una vez logrados los objetivos del citado diagnóstico y mapeo, conforme a los indicado en la cláusula 1 de la memoria del órgano gestor, el objeto último será difundir, sensibilidzar y concienciar sobre los principales problemas de salud y bienestar del municipio, elaborando programas que permitan a los ciudadanos crear hábitos saludables y un estilo de vida más sano, mejorando así, su calidad de vida.",,Servicios,Ordinario,4998001.0,Desierto,,2022
60,117/21,"Suministro de trabajos de imprenta y productos relacionados para el Servicio Centralizado del Excmo. Ayuntamiento de Alicante, reservado a centros especiales de empleo de iniciativa social y a empresas de inserción.",,Suministros,Ordinario,847000.0,Desierto,,2022
61,17/22,Servicio de mantenimiento de los sistemas de almacenamiento de datos de los Centros de Datos Municipales,,Servicios,Ordinario,5179139.0,Desierto,,2022
62,44/22,"Gestión y ejecución del ""Programa de acciones culturales EDUSI-PANORAMA Las Cigarreras"", cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER), dentro del Eje 12 ""Desarrollo Urbano"" del Programa Operativo de Crecimiento Sostenible, para la programación 2014-2020. Una manera de hacer Europa.",,Servicios,Ordinario,1275340.0,Desierto,,2022
63,86/22,Suministro de material técnico para la Banda Sinfónica Municipal de Música.,,Suministros,Ordinario,742551.0,Desierto,,2022
64,111/22,"Contrato de obras de reposición de escaleras de acceso al barranco de Orgegia, en Alicante. ",,Obras,Ordinario,12073485.0,Desierto,,2022
65,79/22,Servicio de gestión y ejecución de las actividades formativas para familias,,Servicios,Ordinario,798116.0,Desierto,,2022
66,103/22,Servicio de mantenimiento de pavimentos deportivos en la ciudad de Alicante por lotes. Lote 1: Céspedes artificiales (fútbol y padel) y otros pavimentos deportivos. Lote 2: Céspedes naturales y zonas verdes en dependencias deportivas. ,,Servicios,Ordinario,222401177.0,Desierto,,2022
67,141/21,"El servicio de consultoría técnica para la realización del diagnóstico participativo y del mapa de activos para la salud de la estrategía ""Alicante ciudad saludable"". Una vez logrados los objetivos del citado diagnóstico y mapeo, conforme a los indicado en la cláusula 1 de la memoria del órgano gestor, el objeto último será difundir, sensibilidzar y concienciar sobre los principales problemas de salud y bienestar del municipio, elaborando programas que permitan a los ciudadanos crear hábitos saludables y un estilo de vida más sano, mejorando así, su calidad de vida.",,Servicios,Ordinario,4998001.0,Desierto,,2022
68,117/21,"Suministro de trabajos de imprenta y productos relacionados para el Servicio Centralizado del Excmo. Ayuntamiento de Alicante, reservado a centros especiales de empleo de iniciativa social y a empresas de inserción.",,Suministros,Ordinario,847000.0,Desierto,,2022
69,08/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( casetas ) en el Mercado Municipal de Carolinas, dividido en cuatro lotes ",,Patrimonial,Ordinario,20000.0,Desierto,,2022
70,08/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( casetas ) en el Mercado Municipal de Carolinas, dividido en cuatro lotes ",,Patrimonial,Ordinario,20000.0,Desierto,,2022
71,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,15070.0,Desierto,,2022
72,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,18500.0,Desierto,,2022
73,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,12000.0,Desierto,,2022
74,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,12000.0,Desierto,,2022
75,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,12000.0,Desierto,,2022
76,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,16650.0,Desierto,,2022
77,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,8320.0,Desierto,,2022
78,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,18500.0,Desierto,,2022
79,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,18500.0,Desierto,,2022
80,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,9250.0,Desierto,,2022
81,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",,Patrimonial,Ordinario,9250.0,Desierto,,2022
82,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,31500.0,Desierto,,2022
83,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,31500.0,Desierto,,2022
84,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,31500.0,Desierto,,2022
85,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,31500.0,Desierto,,2022
86,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,255000.0,Desierto,,2022
87,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,50000.0,Desierto,,2022
88,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,50000.0,Desierto,,2022
89,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,50000.0,Desierto,,2022
90,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,50000.0,Desierto,,2022
91,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,49000.0,Desierto,,2022
92,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",,Patrimonial,Ordinario,49000.0,Desierto,,2022
93,05/22,"Concesión demanial para el uso, disfrute y explotación de ocho (8) unidades comerciales ( puestos ) en el Mercado Municipal Central de Alicante, dividido en ocho lotes",,Patrimonial,Ordinario,78500.0,Desierto,,2022
94,05/22,"Concesión demanial para el uso, disfrute y explotación de ocho (8) unidades comerciales ( puestos ) en el Mercado Municipal Central de Alicante, dividido en ocho lotes",,Patrimonial,Ordinario,111500.0,Desierto,,2022
95,05/22,"Concesión demanial para el uso, disfrute y explotación de ocho (8) unidades comerciales ( puestos ) en el Mercado Municipal Central de Alicante, dividido en ocho lotes",,Patrimonial,Ordinario,87000.0,Desierto,,2022
96,17/22,Servicio de mantenimiento de los sistemas de almacenamiento de datos de los Centros de Datos Municipales,,Servicios,Ordinario,5179139.0,Desierto,,2022
97,21/22,"Actividades educativas y formativas del Centro Educativo de Recursos de Consumo de Alicante, en los Centros Escolares y para el público adulto",,Servicios,Ordinario,285765.0,Desierto,,2022
98,32/22,"Servicio de creación y ejecución del programa ""Residencias creativas en las Cigarreras"", cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER), dentro del eje 12 ""Desarrollo Urbano"" del Programa Operativo de Crecimiento Sostenible (EDUSI), para la programación 2014-2020. Una manera de hacer Europa.",,Servicios,Ordinario,3454874.0,Desierto,,2022
99,44/22,"Gestión y ejecución del ""Programa de acciones culturales EDUSI-PANORAMA Las Cigarreras"", cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER), dentro del Eje 12 ""Desarrollo Urbano"" del Programa Operativo de Crecimiento Sostenible, para la programación 2014-2020. Una manera de hacer Europa.",,Servicios,Ordinario,1275340.0,Desierto,,2022
100,05/22,"Concesión demanial para el uso, disfrute y explotación de ocho (8) unidades comerciales ( puestos ) en el Mercado Municipal Central de Alicante, dividido en ocho lotes",,Patrimonial,Ordinario,65000.0,Desierto,,2022
101,38/22,"Servicio de asistencia técnica a los técnicos municipales para la redacción del documento Borrador del PGE + Documento Inicial  Estratégico, necesario para iniciar el procedimiento de aprobación del Plan General Estructura. Dividido en 7 lotes ",,Servicios,Ordinario,496434.0,Desierto,,2022
102,91/22,"Servicios de montaje, desmontaje, almacenamiento, mantenimiento, restauración, iluminación, sonorización y espectáculo inaugural del Portal de Belén Monumental",,Servicios,Ordinario,490000.0,Desierto,,2022
103,86/22,Suministro de material técnico para la Banda Sinfónica Municipal de Música.,,Suministros,Ordinario,742551.0,Desierto,,2022
104,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes),,Suministros,Ordinario,1089000.0,Desierto,,2022
105,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes),,Suministros,Ordinario,1047200.0,Desierto,,2022
106,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes),,Suministros,Ordinario,1064800.0,Desierto,,2022
107,81/22,Concesión demanial para la explotación del servicio de máquinas expendedoras de bebidas y alimentos sólidos en instalaciones deportivas municipales gestionadas por la Concejalía de Deportes,,Patrimonial,Ordinario,4415578.0,Desierto,,2022
108,47/22,"Servicio para la gestión y ejecución del ""Programa Edusiart. Un proyecto de cambio - Panorama las Cigarreras"", cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER), dentro del Eje 12 ""Desarrollo Urbano"" del Programa Operativo de Crecimiento Sostenible, para la programación 2014-2020. Una manera de hacer Europa.",,Servicios,Ordinario,1004300.0,Desierto,,2022
109,98/22,"Equipamiento técnico para la sala Caja Negra del centro cultural Las Cigarreras. Este contrato se enmarca dentro de la consecución de los objetivos e hitos del Plan de Recuperación, Transformación y Resiliencia del Gobierno de España. ",,Suministros,Ordinario,121000.0,Desierto,,2022
110,40/22,Concesión demanial para la explotación del Servicio de Quiosco-bar en diferentes instalaciones deportivas municipales.,,Patrimonial,Ordinario,538714.0,Desierto,,2022
111,40/22,Concesión demanial para la explotación del Servicio de Quiosco-bar en diferentes instalaciones deportivas municipales.,,Patrimonial,Ordinario,553301.0,Desierto,,2022
112,40/22,Concesión demanial para la explotación del Servicio de Quiosco-bar en diferentes instalaciones deportivas municipales.,,Patrimonial,Ordinario,905402.0,Desierto,,2022
113,111/22,"Contrato de obras de reposición de escaleras de acceso al barranco de Orgegia, en Alicante. ",,Obras,Ordinario,12073485.0,Desierto,,2022
