,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista
10,"15/2014
"," EXPLOTACIÓN DE LA PLAZA DE TOROS DE ALICANTE, CON ESPECTÁCULOS TAURINOS Y OTROS. ",ATENCIÓN URBANA ,Especiales ,"Ordinaria
","10/11/2017
","01/01/2018
","31/12/2019
", ,"Toros del Mediterráneo, S.L. 
"
11,"15/2017
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL SERVICIO DE PREVENCIÓN, EXTINCIÓN DE INCENDIOS Y SALVAMENTO ","SERVICIO DE RECURSOS HUMANOS, ORGANIZACIÓN Y CALIDAD ",Suministros ,"Ordinaria
","03/10/2017
","01/01/2018
","31/12/2018
","61.696,38
","EL CORTE INGLÉS, S.A.
"
12,"14/2017
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL ","SERVICIO DE RECURSOS HUMANOS, ORGANIZACIÓN Y CALIDAD ",Suministros ,"Ordinaria
","03/10/2017
","01/01/2018
","31/12/2018
","256.830,97
","EL CORTE INGLÉS, S.A.
"
13,"88/2015
", ORDENACIÓN DEL TRÁFICO DE VEHÍCULOS ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Servicios ,"Ordinaria
","24/11/2017
","15/05/2018
","14/05/2020
","3.500.000,00
","AERONAVAL DE CONSTRUCCIONES E INSTALACIONES, S.A. Y ACEINSA MOVILIDAD, S.A. UNIÓN TEMPORAL EMPRESAS
"
14,"1/2014
", GESTIÓN INTEGRAL DEL CENTRO DE ACOGIDA E INSERCIÓN DE PERSONAS SIN HOGAR ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Urgente
","02/05/2017
","07/08/2017
","06/08/2018
","895.189,18
","Abierto - Utilizando más de un criterio de adjudicación
"
15,"5/2014
", INSTALACIÓN Y EXPLOTACIÓN DE UNA RED DE CAJEROS AUTOMÁTICOS EN LOS MERCADOS MUNICIPALES (CONCESIÓN ADMINISTRATIVA) ,"COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Especiales ,"Ordinaria
","21/03/2017
",0,0,"10.809,84
","Banco de Sabadell, S.A.
"
16,"5/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL SERVICIO DE ATENCIÓN URBANA ",ATENCIÓN URBANA ,Suministros ,"Ordinaria
","14/11/2017
","01/01/2018
","31/12/2018
","26.135,58
","El Corte Inglés, S.A.
"
17,"11/2015
", SERVICIO DE CONSERVACION Y MANTENIMIENTO Y SERVICIO 48 HORAS DEL ALUMBRADO PUBLICO E INSTALACIONES ELECTRICAS DE BAJA TENSION DEL AYUNTAMIENTO DE ALICANTE. EXPTE 18/2014 ,ATENCIÓN URBANA ,Servicios ,"Ordinaria
","09/05/2017
","16/05/2017
","15/05/2019
","1.079.037,28
","SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS, SA, y BECSA, SAU. UTE, Ley 18/1982, de 26 de mayo
"
18,"11/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE DEFENSA JURÍDICA Y RECLAMACIÓN DE DAÑOS PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/06/2017
","17/09/2017
","16/09/2018
","33.725,00
","Segurcaixa Adeslas, S.A. de Seguros y Reaseguros
"
19,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/06/2017
","22/10/2017
","21/10/2018
","180.000,00
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
"
20,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","25/07/2016
","30/11/2017
","29/11/2018
","134.900,00
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
"
21,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","29/08/2017
","30/11/2017
","29/11/2018
","131.658,57
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
"
22,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/08/2017
","30/11/2017
","20/11/2018
","27.739,46
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
"
23,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","25/07/2016
","30/11/2017
","29/11/2018
","134.900,00
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
"
24,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","29/08/2017
","30/11/2017
","29/11/2018
","131.658,57
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
"
25,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/08/2017
","30/11/2017
","20/11/2018
","27.739,46
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
"
26,"4/2016
"," SUMINISTRO DE MOBILIARIO DE OFICINA, CON CRITERIOS MEDIOAMBIENTALES ",ECONOMÍA Y HACIENDA ,Suministros ,"Ordinaria
","28/04/2017
","19/05/2017
","18/05/2018
","36.300,00
","ACTIU BERBEGAL Y FORMAS, S.A.
"
27,"5/2016
", SERVICIO DE INFORMACIÓN TRIBUTARIA LINEA 900 ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","14/03/2017
","31/05/2017
","31/05/2018
","34.243,00
","IBIZALINK, S.L.U.
"
