,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista
10,"106/2016
", SERVICIO DE CONSERVACIÓN YMANTENIMIENTO DE LAS ZONAS VERDES DE LA CIUDAD DE ALICANTE ,ATENCIÓN URBANA ,Servicios ,"Urgente
","12/07/2016
","14/07/2016
","13/07/2017
","4.470.070,68
","GESTION AMBIENTAL URBANA, S.L.U.
"
11,"89/2015
", SERVICIO DE TELECOMUNICACIONES DEL AYUNTAMIENTO DE ALICANTE Y SUS ORGANISMOS AUTÓNOMOS ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Servicios ,"Anticipada
","12/04/2016
","05/06/2016
","04/06/2018
","1.310.242,44
","Telefónica España SAU y Telefónica Móviles, SAU, Unión Temporal de Empresas
"
12,"3/2014
"," CONCESIÓN ADMINISTRATIVA PARA LA EXPLOTACIÓN DE MÁQUINAS EXPENDEDORAS DE PRODUCTOS DE ALIMENTACIÓN, AGUA MINERAL Y REFRESCOS EN LAS DISTINTAS INSTALACIONES DEPORTIVAS GESTIONADAS POR LA CONCEJALÍA DE DEPORTES ",DEPORTES ,Especiales ,"Ordinaria
","30/06/2016
","01/07/2016
","30/06/2017
", ,"Negociado sin publicidad
"
13,"1/2015
", SERVICIO DE INTERVENCIÓN EN ABSENTISMO ESCOLAR EN LA CIUDAD DE ALICANTE ,EDUCACIÓN ,Servicios ,"Ordinaria
","08/03/2016
","01/09/2016
","30/06/2017
","96.442,50
","EULEN SERVICIOS SOCIOSANITARIOS, S.A.
"
14,"7/2015
", GESTIÓN DEL SERVICIO DE ACOMPAÑAMIENTO EN ITINERARIOS DE INCLUSIÓN LABORAL ,ACCIÓN SOCIAL ,Servicios ,"Urgente
","15/03/2016
","19/04/2016
","18/05/2017
","104.785,00
","Abierto - Utilizando más de un criterio de adjudicación
"
15,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Especiales ,"Ordinaria
","24/05/2016
","04/06/2016
","03/12/2016
","18.000,00
","GARAJE EUROPA S.L.- CONSTRUCCIONES RICARDO SANCHEZ, S.A. UTE LEY 18/11982
"
16,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Especiales ,"Ordinaria
","25/10/2016
","04/12/2016
","03/06/2017
", ,"GARAJE EUROPA S.L.- CONSTRUCCIONES RICARDO SANCHEZ, S.A. UTE LEY 18/11982
"
17,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Especiales ,"Ordinaria
","24/05/2016
","04/06/2016
","03/12/2016
","18.000,00
","GARAJE EUROPA S.L.- CONSTRUCCIONES RICARDO SANCHEZ, S.A. UTE LEY 18/11982
"
18,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Especiales ,"Ordinaria
","25/10/2016
","04/12/2016
","03/06/2017
", ,"GARAJE EUROPA S.L.- CONSTRUCCIONES RICARDO SANCHEZ, S.A. UTE LEY 18/11982
"
19,"9/2015
"," SERVICIO DE RECOGIDA, CUSTODIA, MANTENIMIENTO, OBSERVACIÓN, TRATAMIENTO Y ENTREGA EN ADOPCIÓN DE ANIMALES URBANOS. ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Servicios ,"Ordinaria
","26/07/2016
","01/08/2016
","31/07/2017
","78.408,00
","SOCIEDAD PROTECTORA DE ANIMALES Y PLANTAS DE ALICANTE
"
20,"59/2015
"," SERVICIO DE GESTIÓN Y EJECUCIÓN DE TALLERES, CURSOS Y OTRAS ACTIVIDADES DE LOS CENTROS MUNICIPALES DE PERSONAS MAYORES. ",ACCIÓN SOCIAL ,Servicios ,"Ordinaria
","14/07/2016
","21/10/2016
","21/03/2017
","28.977,00
","Eulen Servicios Sociosanitarios, S.A.
"
21,"2/2016
", MANTENIMIENTO DE LOS SISTEMAS DE ALMACENAMIENTO NETAPP ,MODERNIZACIÓN ,Servicios ,"Ordinaria
","08/08/2016
","21/09/2016
","21/02/2017
","25.894,00
","SERVICIOS INFORMATICOS DE SOFTWARE Y TELECOMUNICACIONES, S.L.
"
