,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista,Año
14,"3/2015
", CONCESIÓN DEL SERVICIO DE TIENDA-LIBRERIA EN LA SALA HERRERÍA EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Otros ,"Ordinaria
","21/09/2015
","25/09/2015
","25/03/2016
","1.367,30
","CATAPULTAS S.L
",2015
15,"1/2014
", CONTRATACIÓN DE LA ORGANIZACIÓN Y EJECUCIÓN DE VARIAS EXPOSICIONES TEMPORALES Y TALLERES EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Especiales ,"Ordinaria
","03/02/2015
","10/04/2015
","10/04/2016
","10.658,56
","Esatur XXI, S.L.
",2015
16,"4/2014
"," SERVICIO DE INSPECCIÓN Y MANTENIMIENTO DE LOS EXTINTORES, BOCAS DE INCENDIOS Y GRUPOS DE PRESIÓN CONTRA INCENDIOS EN DEPENDENCIAS, COLEGIOS E INSTALACIONES DEPORTIVAS MUNICIPALES. ",ATENCIÓN URBANA ,Servicios ,"Ordinaria
","02/04/2015
","16/05/2015
","15/05/2016
","46.983,08
","Extintores El Angel, S.L.
",2015
17,"4/2014
"," VIGILANCIA EN EL MERCADILLO QUE SE INSTALA JUNTO A LA GRAN VÍA, CALLE TEULADA Y CAMPO DE MIRRA ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Servicios ,"Ordinaria
","23/03/2015
","03/06/2015
","02/06/2016
","13.600,04
","Vectalia Seguridad, S.L.
",2015
18,"5/2014
", SERVICIO DE MANTENIMIENTO PARCIAL DE VÍAS Y ESPACIOS PÚBLICOS. SERVICIO 48 HORAS. ,ATENCIÓN URBANA ,Servicios ,"Ordinaria
","27/08/2015
","01/09/2015
","31/08/2016
","492.780,47
","Esclapés e Hijos, S.L. - Tevaseñal, S.A., Unión Temporal de Empresas ""UTE Servicio 48 horas""
",2015
19,"2/2014
", DESARROLLO DEL SERVICIO DE MEDIACIÓN E INTERVENCIÓN EN COMUNIDADES VECINALES DE LA ZONA NORTE ,COORDINACIÓN DE ÁREAS Y PROYECTOS ,Servicios ,"Ordinaria
","01/09/2015
","03/10/2015
","03/01/2015
","11.400,00
","FILIAS Proyectos socio-educativos, S.L. 
",2015
20,"1/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO COLECTIVO DE VIDA Y ACCIDENTES PARA EL SERVICIO DE EXTINCIÓN DE INCENDIOS Y SALVAMENTO DEL AYUNTAMIENTO DE ALICANTE ,"PREVENCIÓN, EXTINCIÓN DE INCENDIOS Y SALVAMENTO ",Servicios ,"Ordinaria
","15/12/2015
","20/01/2016
","21/01/2017
","55.645,91
","VIDA CAIXA S.A. de Seguros y Reaseguros
",2015
21,"4/2015
", ADJUDICACIÓN DEL CONTRATO RELATIVO AL SUMINISTRO DE PAPEL DE OFICINA PARA LOS DIFERENTES SERVICIOS Y DEPENDENCIAS DEL AYUNTAMIENTO DE ALICANTE ,ECONOMÍA Y HACIENDA ,Suministros ,"Ordinaria
","23/11/2015
","01/01/2016
","31/12/2016
","27.616,31
","LYRECO ESPAÑA, S.A.
",2015
0,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","27/12/2011
","01/01/2012
","31/12/2013
","690.578,44
","Alfis 31, S.L. 
",2016
1,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","23/12/2013
","01/01/2014
","31/12/2015
", ,"Alfis 31, S.L. 
",2016
2,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","24/11/2015
","01/01/2016
","31/12/2016
","359.643,66
","Alfis 31, S.L. 
",2016
3,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","26/07/2016
","01/01/2017
","31/12/2017
","36,25
","Alfis 31, S.L. 
",2016
4,"1/2016
"," EXPLOTACIÓN DEL SERVICIO DE BAR-CAFETERÍA EN EL MERCADILLO MUNICIPAL QUE SE INSTALA EN LOS SOLARES SITOS EN LA GRAN VÍA, CALLE TEULADA Y CAMPO DE MIRRA (CONCESIÓN ADMINISTRATIVA) ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Especiales ,"Ordinaria
","27/03/2013
","01/04/2013
","31/03/2016
","26.920,00
","Pedro Merlos Pérez
",2016
5,"1/2016
"," EXPLOTACIÓN DEL SERVICIO DE BAR-CAFETERÍA EN EL MERCADILLO MUNICIPAL QUE SE INSTALA EN LOS SOLARES SITOS EN LA GRAN VÍA, CALLE TEULADA Y CAMPO DE MIRRA (CONCESIÓN ADMINISTRATIVA) ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Especiales ,"Ordinaria
","26/01/2016
","01/04/2016
","31/03/2019
","27.373,00
","Pedro Merlos Pérez
",2016
6,"9/2015
", APROVECHAMIENTO ADICIONAL DE LAS FAROLAS DE ALUMBRADO PÚBLICO CON FINES PUBLICITARIOS ,OCUPACIÓN VÍA PÚBLICA Y CONSERVACIÓN DE INMUEBLES ,Especiales ,"Ordinaria
","10/02/2015
","12/05/2015
","11/05/2016
","26.486,96
","Makroprint Impresión Digital, S.L.N.E.
",2016
7,"9/2015
", APROVECHAMIENTO ADICIONAL DE LAS FAROLAS DE ALUMBRADO PÚBLICO CON FINES PUBLICITARIOS ,OCUPACIÓN VÍA PÚBLICA Y CONSERVACIÓN DE INMUEBLES ,Especiales ,"Ordinaria
","03/05/2016
","12/05/2016
","11/05/2016
", ,"Makroprint Impresión Digital, S.L.N.E.
",2016
8,"2/2016
", SERVICIO DE ASISTENCIA Y SALVAMENTO EN LAS PLAYAS DE ALICANTE ,PATRONATO DE TURISMO ,Servicios ,"Ordinaria
","14/06/2016
","07/07/2016
","06/07/2016
", ,"PRO-ACTIVA SERVEIS AQUÀTICS, S.L. 
",2016
9,"68/2016
"," CONSERVACIÓN Y EXPLOTACIÓN DE UNA ESTACIÓN PROVISONAL DE AUTOBUSES, MEDIANTE CONCESIÓN ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Gestión de Servicios públicos ,"Ordinaria
","10/08/2016
","18/08/2011
","17/08/2017
", ,"AUTOMÓVILES LA ALCOYANA, S.A. y GRUPO ENATCAR, S.A. Unión Temporal de Empresas
",2016
10,"106/2016
", SERVICIO DE CONSERVACIÓN YMANTENIMIENTO DE LAS ZONAS VERDES DE LA CIUDAD DE ALICANTE ,ATENCIÓN URBANA ,Servicios ,"Urgente
","12/07/2016
","14/07/2016
","13/07/2017
","4.470.070,68
","GESTION AMBIENTAL URBANA, S.L.U.
",2016
11,"89/2015
", SERVICIO DE TELECOMUNICACIONES DEL AYUNTAMIENTO DE ALICANTE Y SUS ORGANISMOS AUTÓNOMOS ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Servicios ,"Anticipada
","12/04/2016
","05/06/2016
","04/06/2018
","1.310.242,44
","Telefónica España SAU y Telefónica Móviles, SAU, Unión Temporal de Empresas
",2016
12,"3/2014
"," CONCESIÓN ADMINISTRATIVA PARA LA EXPLOTACIÓN DE MÁQUINAS EXPENDEDORAS DE PRODUCTOS DE ALIMENTACIÓN, AGUA MINERAL Y REFRESCOS EN LAS DISTINTAS INSTALACIONES DEPORTIVAS GESTIONADAS POR LA CONCEJALÍA DE DEPORTES ",DEPORTES ,Especiales ,"Ordinaria
","30/06/2016
","01/07/2016
","30/06/2017
", ,"Negociado sin publicidad
",2016
13,"1/2015
", SERVICIO DE INTERVENCIÓN EN ABSENTISMO ESCOLAR EN LA CIUDAD DE ALICANTE ,EDUCACIÓN ,Servicios ,"Ordinaria
","08/03/2016
","01/09/2016
","30/06/2017
","96.442,50
","EULEN SERVICIOS SOCIOSANITARIOS, S.A.
",2016
14,"7/2015
", GESTIÓN DEL SERVICIO DE ACOMPAÑAMIENTO EN ITINERARIOS DE INCLUSIÓN LABORAL ,ACCIÓN SOCIAL ,Servicios ,"Urgente
","15/03/2016
","19/04/2016
","18/05/2017
","104.785,00
","Abierto - Utilizando más de un criterio de adjudicación
",2016
15,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Especiales ,"Ordinaria
","24/05/2016
","04/06/2016
","03/12/2016
","18.000,00
","GARAJE EUROPA S.L.- CONSTRUCCIONES RICARDO SANCHEZ, S.A. UTE LEY 18/11982
",2016
16,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Especiales ,"Ordinaria
","25/10/2016
","04/12/2016
","03/06/2017
", ,"GARAJE EUROPA S.L.- CONSTRUCCIONES RICARDO SANCHEZ, S.A. UTE LEY 18/11982
",2016
17,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Especiales ,"Ordinaria
","24/05/2016
","04/06/2016
","03/12/2016
","18.000,00
","GARAJE EUROPA S.L.- CONSTRUCCIONES RICARDO SANCHEZ, S.A. UTE LEY 18/11982
",2016
18,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Especiales ,"Ordinaria
","25/10/2016
","04/12/2016
","03/06/2017
", ,"GARAJE EUROPA S.L.- CONSTRUCCIONES RICARDO SANCHEZ, S.A. UTE LEY 18/11982
",2016
19,"9/2015
"," SERVICIO DE RECOGIDA, CUSTODIA, MANTENIMIENTO, OBSERVACIÓN, TRATAMIENTO Y ENTREGA EN ADOPCIÓN DE ANIMALES URBANOS. ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Servicios ,"Ordinaria
","26/07/2016
","01/08/2016
","31/07/2017
","78.408,00
","SOCIEDAD PROTECTORA DE ANIMALES Y PLANTAS DE ALICANTE
",2016
20,"59/2015
"," SERVICIO DE GESTIÓN Y EJECUCIÓN DE TALLERES, CURSOS Y OTRAS ACTIVIDADES DE LOS CENTROS MUNICIPALES DE PERSONAS MAYORES. ",ACCIÓN SOCIAL ,Servicios ,"Ordinaria
","14/07/2016
","21/10/2016
","21/03/2017
","28.977,00
","Eulen Servicios Sociosanitarios, S.A.
",2016
21,"2/2016
", MANTENIMIENTO DE LOS SISTEMAS DE ALMACENAMIENTO NETAPP ,MODERNIZACIÓN ,Servicios ,"Ordinaria
","08/08/2016
","21/09/2016
","21/02/2017
","25.894,00
","SERVICIOS INFORMATICOS DE SOFTWARE Y TELECOMUNICACIONES, S.L.
",2016
0,"87/2017
", EXPLOTACIÓN DE UN BAR-CAFETERÍA SITUADO EN EL RECINTO DEL PARQUE TEMÁTICO DEL MONTE TOSSAL (ALICANTE). ,ATENCIÓN URBANA ,Especiales ,"Ordinaria
","28/07/2017
","26/11/2017
","27/11/2019
","11.999,56
","AZNAR HURTADO, ALBERTO
",2017
1,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","27/12/2011
","01/01/2012
","31/12/2013
","690.578,44
","Alfis 31, S.L. 
",2017
2,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","23/12/2013
","01/01/2014
","31/12/2015
", ,"Alfis 31, S.L. 
",2017
3,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","24/11/2015
","01/01/2016
","31/12/2016
","359.643,66
","Alfis 31, S.L. 
",2017
4,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","26/07/2016
","01/01/2017
","31/12/2017
","36,25
","Alfis 31, S.L. 
",2017
5,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","05/09/2017
","01/01/2018
","31/12/2018
","359.643,66
","Alfis 31, S.L. 
",2017
6,"68/2016
"," CONSERVACIÓN Y EXPLOTACIÓN DE UNA ESTACIÓN PROVISONAL DE AUTOBUSES, MEDIANTE CONCESIÓN ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Gestión de Servicios públicos ,"Ordinaria
","10/08/2016
","18/08/2017
","17/08/2018
","52.005,00
","AUTOMÓVILES LA ALCOYANA, S.A. y GRUPO ENATCAR, S.A. Unión Temporal de Empresas
",2017
7,"68/2016
"," CONSERVACIÓN Y EXPLOTACIÓN DE UNA ESTACIÓN PROVISONAL DE AUTOBUSES, MEDIANTE CONCESIÓN ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Gestión de Servicios públicos ,"Ordinaria
","20/06/2017
","18/08/2016
","17/08/2017
","52.005,00
","AUTOMÓVILES LA ALCOYANA, S.A. y GRUPO ENATCAR, S.A. Unión Temporal de Empresas
",2017
8,"106/2016
", SERVICIO DE CONSERVACIÓN YMANTENIMIENTO DE LAS ZONAS VERDES DE LA CIUDAD DE ALICANTE ,ATENCIÓN URBANA ,Servicios ,"Urgente
","12/07/2016
","14/07/2016
","13/07/2017
","4.470.070,68
","GESTION AMBIENTAL URBANA, S.L.U.
",2017
9,"106/2016
", SERVICIO DE CONSERVACIÓN YMANTENIMIENTO DE LAS ZONAS VERDES DE LA CIUDAD DE ALICANTE ,ATENCIÓN URBANA ,Servicios ,"Urgente
","20/06/2017
","14/07/2017
","13/07/2018
","4.470.070,68
","GESTION AMBIENTAL URBANA, S.L.U.
",2017
10,"15/2014
"," EXPLOTACIÓN DE LA PLAZA DE TOROS DE ALICANTE, CON ESPECTÁCULOS TAURINOS Y OTROS. ",ATENCIÓN URBANA ,Especiales ,"Ordinaria
","10/11/2017
","01/01/2018
","31/12/2019
", ,"Toros del Mediterráneo, S.L. 
",2017
11,"15/2017
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL SERVICIO DE PREVENCIÓN, EXTINCIÓN DE INCENDIOS Y SALVAMENTO ","SERVICIO DE RECURSOS HUMANOS, ORGANIZACIÓN Y CALIDAD ",Suministros ,"Ordinaria
","03/10/2017
","01/01/2018
","31/12/2018
","61.696,38
","EL CORTE INGLÉS, S.A.
",2017
12,"14/2017
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL ","SERVICIO DE RECURSOS HUMANOS, ORGANIZACIÓN Y CALIDAD ",Suministros ,"Ordinaria
","03/10/2017
","01/01/2018
","31/12/2018
","256.830,97
","EL CORTE INGLÉS, S.A.
",2017
13,"88/2015
", ORDENACIÓN DEL TRÁFICO DE VEHÍCULOS ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Servicios ,"Ordinaria
","24/11/2017
","15/05/2018
","14/05/2020
","3.500.000,00
","AERONAVAL DE CONSTRUCCIONES E INSTALACIONES, S.A. Y ACEINSA MOVILIDAD, S.A. UNIÓN TEMPORAL EMPRESAS
",2017
14,"1/2014
", GESTIÓN INTEGRAL DEL CENTRO DE ACOGIDA E INSERCIÓN DE PERSONAS SIN HOGAR ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Urgente
","02/05/2017
","07/08/2017
","06/08/2018
","895.189,18
","Abierto - Utilizando más de un criterio de adjudicación
",2017
15,"5/2014
", INSTALACIÓN Y EXPLOTACIÓN DE UNA RED DE CAJEROS AUTOMÁTICOS EN LOS MERCADOS MUNICIPALES (CONCESIÓN ADMINISTRATIVA) ,"COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Especiales ,"Ordinaria
","21/03/2017
",0,0,"10.809,84
","Banco de Sabadell, S.A.
",2017
16,"5/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL SERVICIO DE ATENCIÓN URBANA ",ATENCIÓN URBANA ,Suministros ,"Ordinaria
","14/11/2017
","01/01/2018
","31/12/2018
","26.135,58
","El Corte Inglés, S.A.
",2017
17,"11/2015
", SERVICIO DE CONSERVACION Y MANTENIMIENTO Y SERVICIO 48 HORAS DEL ALUMBRADO PUBLICO E INSTALACIONES ELECTRICAS DE BAJA TENSION DEL AYUNTAMIENTO DE ALICANTE. EXPTE 18/2014 ,ATENCIÓN URBANA ,Servicios ,"Ordinaria
","09/05/2017
","16/05/2017
","15/05/2019
","1.079.037,28
","SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS, SA, y BECSA, SAU. UTE, Ley 18/1982, de 26 de mayo
",2017
18,"11/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE DEFENSA JURÍDICA Y RECLAMACIÓN DE DAÑOS PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/06/2017
","17/09/2017
","16/09/2018
","33.725,00
","Segurcaixa Adeslas, S.A. de Seguros y Reaseguros
",2017
19,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/06/2017
","22/10/2017
","21/10/2018
","180.000,00
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
",2017
20,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","25/07/2016
","30/11/2017
","29/11/2018
","134.900,00
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
",2017
21,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","29/08/2017
","30/11/2017
","29/11/2018
","131.658,57
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
",2017
22,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/08/2017
","30/11/2017
","20/11/2018
","27.739,46
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
",2017
23,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","25/07/2016
","30/11/2017
","29/11/2018
","134.900,00
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
",2017
