,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista
11,"3/2015
", CONCESIÓN DEL SERVICIO DE TIENDA-LIBRERIA EN LA SALA HERRERÍA EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Otros ,"Ordinaria
","23/03/2015
","25/03/2015
","25/09/2015
","1.130,00
","CATAPULTAS S.L
"
12,"3/2015
", CONCESIÓN DEL SERVICIO DE TIENDA-LIBRERIA EN LA SALA HERRERÍA EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Otros ,"Ordinaria
","21/09/2015
","25/09/2015
","25/03/2016
","1.367,30
","CATAPULTAS S.L
"
13,"3/2015
", CONCESIÓN DEL SERVICIO DE TIENDA-LIBRERIA EN LA SALA HERRERÍA EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Otros ,"Ordinaria
","23/03/2015
","25/03/2015
","25/09/2015
","1.130,00
","CATAPULTAS S.L
"
14,"3/2015
", CONCESIÓN DEL SERVICIO DE TIENDA-LIBRERIA EN LA SALA HERRERÍA EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Otros ,"Ordinaria
","21/09/2015
","25/09/2015
","25/03/2016
","1.367,30
","CATAPULTAS S.L
"
15,"1/2014
", CONTRATACIÓN DE LA ORGANIZACIÓN Y EJECUCIÓN DE VARIAS EXPOSICIONES TEMPORALES Y TALLERES EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Especiales ,"Ordinaria
","03/02/2015
","10/04/2015
","10/04/2016
","10.658,56
","Esatur XXI, S.L.
"
16,"4/2014
"," SERVICIO DE INSPECCIÓN Y MANTENIMIENTO DE LOS EXTINTORES, BOCAS DE INCENDIOS Y GRUPOS DE PRESIÓN CONTRA INCENDIOS EN DEPENDENCIAS, COLEGIOS E INSTALACIONES DEPORTIVAS MUNICIPALES. ",ATENCIÓN URBANA ,Servicios ,"Ordinaria
","02/04/2015
","16/05/2015
","15/05/2016
","46.983,08
","Extintores El Angel, S.L.
"
17,"4/2014
"," VIGILANCIA EN EL MERCADILLO QUE SE INSTALA JUNTO A LA GRAN VÍA, CALLE TEULADA Y CAMPO DE MIRRA ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Servicios ,"Ordinaria
","23/03/2015
","03/06/2015
","02/06/2016
","13.600,04
","Vectalia Seguridad, S.L.
"
18,"5/2014
", SERVICIO DE MANTENIMIENTO PARCIAL DE VÍAS Y ESPACIOS PÚBLICOS. SERVICIO 48 HORAS. ,ATENCIÓN URBANA ,Servicios ,"Ordinaria
","27/08/2015
","01/09/2015
","31/08/2016
","492.780,47
","Esclapés e Hijos, S.L. - Tevaseñal, S.A., Unión Temporal de Empresas ""UTE Servicio 48 horas""
"
19,"2/2014
", DESARROLLO DEL SERVICIO DE MEDIACIÓN E INTERVENCIÓN EN COMUNIDADES VECINALES DE LA ZONA NORTE ,COORDINACIÓN DE ÁREAS Y PROYECTOS ,Servicios ,"Ordinaria
","01/09/2015
","03/10/2015
","03/01/2015
","11.400,00
","FILIAS Proyectos socio-educativos, S.L. 
"
20,"1/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO COLECTIVO DE VIDA Y ACCIDENTES PARA EL SERVICIO DE EXTINCIÓN DE INCENDIOS Y SALVAMENTO DEL AYUNTAMIENTO DE ALICANTE ,"PREVENCIÓN, EXTINCIÓN DE INCENDIOS Y SALVAMENTO ",Servicios ,"Ordinaria
","15/12/2015
","20/01/2016
","21/01/2017
","55.645,91
","VIDA CAIXA S.A. de Seguros y Reaseguros
"
21,"4/2015
", ADJUDICACIÓN DEL CONTRATO RELATIVO AL SUMINISTRO DE PAPEL DE OFICINA PARA LOS DIFERENTES SERVICIOS Y DEPENDENCIAS DEL AYUNTAMIENTO DE ALICANTE ,ECONOMÍA Y HACIENDA ,Suministros ,"Ordinaria
","23/11/2015
","01/01/2016
","31/12/2016
","27.616,31
","LYRECO ESPAÑA, S.A.
"
